function,argument,vignette,section,chunk
freq_tbl,.data,descriptive_analysis,inputs,basic
freq_tbl,.freq_var,descriptive_analysis,inputs,programming
freq_tbl,...,descriptive_analysis,invalid,invalid
freq_tbl,drop,descriptive_analysis,missing,drop
freq_tbl,percent,descriptive_analysis,display,percentages
freq_tbl,overall,descriptive_analysis,display,overall
freq_tbl,generic_col_names,descriptive_analysis,generic,generic
freq_table,.data,descriptive_analysis,inputs,basic
freq_table,.freq_var,descriptive_analysis,inputs,programming
freq_table,...,descriptive_analysis,invalid,invalid-table
freq_table,drop,descriptive_analysis,missing,drop
freq_table,percent,descriptive_analysis,display,percentages
freq_table,overall,descriptive_analysis,display,overall
freq_table,generic_col_names,descriptive_analysis,generic,generic
freq_table,percent_ci,descriptive_analysis,interval-controls,interval-controls
freq_table,ci_type,descriptive_analysis,interval-controls,interval-controls
freq_table,se,descriptive_analysis,interval-controls,details
freq_table,critical_value,descriptive_analysis,interval-controls,details
wald_ci,.data,confidence-intervals,inputs,inputs
wald_ci,percent_ci,confidence-intervals,level,level
wald_ci,se,confidence-intervals,details,details
wald_ci,critical_value,confidence-intervals,details,details
logit_ci,.data,confidence-intervals,inputs,inputs
logit_ci,percent_ci,confidence-intervals,level,level
logit_ci,se,confidence-intervals,details,details
logit_ci,critical_value,confidence-intervals,details,details
freq_test,.data,using_freq_test,one-way,one-way
freq_test,...,using_freq_test,one-way,unused-dots
freq_test.freq_table_one_way,.data,using_freq_test,one-way,one-way
freq_test.freq_table_one_way,...,using_freq_test,one-way,unused-dots
freq_test.freq_table_two_way,.data,using_freq_test,two-way,two-way
freq_test.freq_table_two_way,...,using_freq_test,one-way,unused-dots
freq_test.default,.data,using_freq_test,limits,unsupported
freq_test.default,...,using_freq_test,limits,unsupported
freq_format,.data,formatting,recipes,recipes
freq_format,recipe,formatting,recipes,recipes
freq_format,name,formatting,digits,digits
freq_format,digits,formatting,digits,digits
get_group_n,.data,formatting,sample-size,sample-size
get_group_n,...,formatting,sample-size,sample-size
